Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Turoctocog Alfa,TUROCTOCOG ALFA 250UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 250 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153016,JAR,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa,TUROCTOCOG ALFA 500UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 500 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153028,JAS,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa,TUROCTOCOG ALFA 1.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 1.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153030,JAT,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa,TUROCTOCOG ALFA 1.500UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 1.500 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153042,JAU,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa,TUROCTOCOG ALFA 2.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 2.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153055,JAV,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa,TUROCTOCOG ALFA 3.000UI 4ML 1 UNITA' USO PARENTERALE,NOVOEIGHT*1 flaconcino EV 3.000 Unita' Internazionali + 1 siringa solv 4 ml,NOVO NORDISK A/S,043153067,JAW,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/43153/stampati?ts=RCP
Turoctocog Alfa Pegilato,TUROCTOCOG ALFA PEGILATO 1.000UI 4ML 1 UNITA' USO PARENTERALE,ESPEROCT*1 flaconcino EV 1.000 Unita' Internazionali + 1 siringa preriemp 4 ml,NOVO NORDISK A/S,048083024,LCB,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/48083/stampati?ts=RCP
Turoctocog Alfa Pegilato,TUROCTOCOG ALFA PEGILATO 1.500UI 4ML 1 UNITA' USO PARENTERALE,ESPEROCT*1 flaconcino EV 1.500 Unita' Internazionali + 1 siringa preriemp 4 ml,NOVO NORDISK A/S,048083036,LCC,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/48083/stampati?ts=RCP
Turoctocog Alfa Pegilato,TUROCTOCOG ALFA PEGILATO 2.000UI 4ML 1 UNITA' USO PARENTERALE,ESPEROCT*1 flaconcino EV 2.000 Unita' Internazionali + 1 siringa preriemp 4 ml,NOVO NORDISK A/S,048083048,LCD,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/48083/stampati?ts=RCP
Turoctocog Alfa Pegilato,TUROCTOCOG ALFA PEGILATO 3.000UI 4ML 1 UNITA' USO PARENTERALE,ESPEROCT*1 flaconcino EV 3.000 Unita' Internazionali + 1 siringa preriemp 4 ml,NOVO NORDISK A/S,048083051,LCE,85,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/85/farmaci/48083/stampati?ts=RCP
