Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,SUN PHARMACEUTICAL IND.EU.B.V.,040617146,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,ZENTIVA ITALIA Srl,040723126,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,EG SpA,040782120,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,ALMUS Srl,041076100,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,HCS BVBA,041104151,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,ALSARTIR*28 cpr riv div 160 mg,EG SpA,041129204,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,PRESSLOVAL*28 cpr riv 160 mg,SO.SE.PHARM Srl,041168105,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,TOWA PHARMACEUTICAL SpA,041849151,FPC
Valsartan,VALSARTAN 160MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 160 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392035,FPC
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALPRESSION*28 cpr riv 320 mg,A.MENARINI IND.FARM.RIUN.Srl,033119292,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 320 mg,NOVARTIS FARMA SpA,033178359,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 320 mg,SANDOZ SpA,034776296,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,LABORATORI ALTER Srl,039810092,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,DOC GENERICI Srl,039815372,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,SANDOZ SpA,040318115,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,ZENTIVA ITALIA Srl,040723189,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,EG SpA,040782219,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,HCS BVBA,041104237,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,MYLAN SpA,041442361,FPD
Valsartan,VALSARTAN 320MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 320 mg,TECNIMEDE SOC.TECNICO-MED.S.A.,042392047,FPD
